InvoiceNo,CustomerID,InvoiceDate,Quantity,UnitPrice,TotalSpend
INV10028,CUST1005,2023-02-24 00:00:00,1,239.72,239.72
INV10028,CUST1005,2023-02-24 00:00:00,4,103.55,414.2
INV10029,CUST1005,2023-07-17 00:00:00,1,286.21,286.21
INV10029,CUST1005,2023-07-17 00:00:00,4,148.8,595.2
INV10029,CUST1005,2023-07-17 00:00:00,1,157.99,157.99
INV10030,CUST1005,2023-08-23 00:00:00,10,158.13,1581.3
INV10030,CUST1005,2023-08-23 00:00:00,6,78.65,471.9
INV10031,CUST1005,2023-09-18 00:00:00,3,41.29,123.87
INV10031,CUST1005,2023-09-18 00:00:00,1,149.02,149.02
INV10031,CUST1005,2023-09-18 00:00:00,3,58.94,176.82
INV10031,CUST1005,2023-09-18 00:00:00,4,71.01,284.04
INV10032,CUST1005,2023-04-30 00:00:00,3,265.13,795.39
INV10033,CUST1005,2023-05-29 00:00:00,2,188.77,377.54
INV10034,CUST1005,2023-09-10 00:00:00,6,67.38,404.28
INV10034,CUST1005,2023-09-10 00:00:00,4,117.48,469.92
INV10034,CUST1005,2023-09-10 00:00:00,10,44.89,448.9
INV10035,CUST1005,2023-10-30 00:00:00,1,119.82,119.82
INV10036,CUST1005,2023-09-15 00:00:00,1,161.15,161.15
INV10036,CUST1005,2023-09-15 00:00:00,6,110.18,661.08
INV10037,CUST1005,2023-01-22 00:00:00,1,212.84,212.84
INV10038,CUST1006,2023-10-15 00:00:00,1,116.66,116.66
INV10039,CUST1006,2023-03-20 00:00:00,1,223.98,223.98
INV10039,CUST1006,2023-03-20 00:00:00,4,94.04,376.16
INV10039,CUST1006,2023-03-20 00:00:00,10,103.01,1030.1
INV10039,CUST1006,2023-03-20 00:00:00,4,147.49,589.96
INV10040,CUST1006,2023-04-30 00:00:00,6,44.81,268.86
INV10040,CUST1006,2023-04-30 00:00:00,3,108.48,325.44
INV10041,CUST1006,2023-11-25 00:00:00,10,275.0,2750.0
INV10041,CUST1006,2023-11-25 00:00:00,4,59.82,239.28
INV10041,CUST1006,2023-11-25 00:00:00,2,142.54,285.08
INV10042,CUST1006,2023-11-17 00:00:00,1,270.91,270.91
INV10042,CUST1006,2023-11-17 00:00:00,4,30.65,122.6
INV10042,CUST1006,2023-11-17 00:00:00,1,305.51,305.51
INV10042,CUST1006,2023-11-17 00:00:00,10,133.62,1336.2
INV10043,CUST1006,2023-02-05 00:00:00,1,138.79,138.79
INV10044,CUST1006,2023-11-07 00:00:00,2,288.25,576.5
INV10044,CUST1006,2023-11-07 00:00:00,6,184.56,1107.36
INV10044,CUST1006,2023-11-07 00:00:00,4,203.82,815.28
INV10044,CUST1006,2023-11-07 00:00:00,2,210.74,421.48
INV10045,CUST1006,2023-04-10 00:00:00,2,118.97,237.94
INV10045,CUST1006,2023-04-10 00:00:00,10,325.25,3252.5
INV10045,CUST1006,2023-04-10 00:00:00,2,105.77,211.54
INV10046,CUST1006,2023-01-21 00:00:00,10,226.82,2268.2
INV10047,CUST1006,2023-02-16 00:00:00,10,99.4,994.0
INV10048,CUST1006,2023-09-23 00:00:00,4,308.9,1235.6
INV10048,CUST1006,2023-09-23 00:00:00,10,119.41,1194.1
INV10048,CUST1006,2023-09-23 00:00:00,1,50.8,50.8
INV10049,CUST1006,2023-04-03 00:00:00,6,352.96,2117.76
INV10049,CUST1006,2023-04-03 00:00:00,10,157.18,1571.8
INV10049,CUST1006,2023-04-03 00:00:00,4,331.2,1324.8
INV10050,CUST1006,2023-01-01 00:00:00,10,110.31,1103.1
INV10050,CUST1006,2023-01-01 00:00:00,10,247.88,2478.8
INV10051,CUST1006,2023-05-22 00:00:00,3,215.38,646.14
INV10051,CUST1006,2023-05-22 00:00:00,3,304.8,914.4
INV10051,CUST1006,2023-05-22 00:00:00,6,86.57,519.42
INV10052,CUST1006,2023-08-06 00:00:00,3,90.75,272.25
INV10052,CUST1006,2023-08-06 00:00:00,4,105.12,420.48
INV10052,CUST1006,2023-08-06 00:00:00,1,228.45,228.45
INV10052,CUST1006,2023-08-06 00:00:00,10,218.61,2186.1
INV10053,CUST1007,2023-05-24 00:00:00,10,43.22,432.2
INV10054,CUST1007,2023-05-17 00:00:00,2,112.41,224.82
INV10055,CUST1007,2023-05-14 00:00:00,2,16.87,33.74
INV10055,CUST1007,2023-05-14 00:00:00,6,7.85,47.1
INV10055,CUST1007,2023-05-14 00:00:00,1,70.65,70.65
INV10055,CUST1007,2023-05-14 00:00:00,10,51.18,511.8
INV10056,CUST1008,2023-01-17 00:00:00,4,116.21,464.84
INV10056,CUST1008,2023-01-17 00:00:00,6,194.26,1165.56
INV10056,CUST1008,2023-01-17 00:00:00,1,66.93,66.93
INV10056,CUST1008,2023-01-17 00:00:00,3,33.4,100.2
INV10057,CUST1008,2023-02-08 00:00:00,10,28.94,289.4
INV10057,CUST1008,2023-02-08 00:00:00,6,51.14,306.84
INV10057,CUST1008,2023-02-08 00:00:00,1,199.02,199.02
INV10057,CUST1008,2023-02-08 00:00:00,4,56.92,227.68
INV10058,CUST1009,2023-01-04 00:00:00,10,69.37,693.7
INV10058,CUST1009,2023-01-04 00:00:00,6,106.37,638.22
INV10059,CUST1010,2023-12-10 00:00:00,3,301.65,904.95
INV10059,CUST1010,2023-12-10 00:00:00,1,355.21,355.21
INV10059,CUST1010,2023-12-10 00:00:00,1,131.69,131.69
INV10059,CUST1010,2023-12-10 00:00:00,1,200.76,200.76
INV10060,CUST1010,2023-02-18 00:00:00,3,266.41,799.23
INV10060,CUST1010,2023-02-18 00:00:00,10,438.58,4385.8
INV10060,CUST1010,2023-02-18 00:00:00,3,176.23,528.69
INV10060,CUST1010,2023-02-18 00:00:00,4,375.34,1501.36
INV10061,CUST1010,2023-07-20 00:00:00,4,352.55,1410.2
INV10062,CUST1010,2023-07-20 00:00:00,1,166.17,166.17
INV10062,CUST1010,2023-07-20 00:00:00,6,368.64,2211.84
INV10063,CUST1010,2023-03-10 00:00:00,4,278.14,1112.56
INV10063,CUST1010,2023-03-10 00:00:00,2,245.22,490.44
INV10064,CUST1010,2023-01-28 00:00:00,10,387.16,3871.6
INV10065,CUST1010,2023-07-18 00:00:00,4,229.18,916.72
INV10065,CUST1010,2023-07-18 00:00:00,4,203.28,813.12
INV10065,CUST1010,2023-07-18 00:00:00,6,265.11,1590.66
INV10066,CUST1010,2023-07-20 00:00:00,4,344.22,1376.88
INV10066,CUST1010,2023-07-20 00:00:00,2,36.27,72.54
INV10066,CUST1010,2023-07-20 00:00:00,3,331.94,995.82
INV10067,CUST1010,2023-03-07 00:00:00,3,290.78,872.34
INV10067,CUST1010,2023-03-07 00:00:00,4,109.74,438.96
INV10068,CUST1011,2023-04-30 00:00:00,2,137.87,275.74
INV10068,CUST1011,2023-04-30 00:00:00,4,133.08,532.32
INV10068,CUST1011,2023-04-30 00:00:00,10,23.31,233.1
INV10069,CUST1011,2023-02-01 00:00:00,4,89.92,359.68
INV10069,CUST1011,2023-02-01 00:00:00,4,86.15,344.6
INV10069,CUST1011,2023-02-01 00:00:00,4,116.6,466.4
INV10069,CUST1011,2023-02-01 00:00:00,6,105.38,632.28
INV10070,CUST1012,2023-01-18 00:00:00,3,90.43,271.29
INV10070,CUST1012,2023-01-18 00:00:00,1,111.6,111.6
INV10071,CUST1012,2023-01-04 00:00:00,10,34.4,344.0
INV10072,CUST1013,2023-11-01 00:00:00,10,112.56,1125.6
INV10072,CUST1013,2023-11-01 00:00:00,6,85.95,515.7
INV10072,CUST1013,2023-11-01 00:00:00,6,77.54,465.24
INV10073,CUST1013,2023-07-08 00:00:00,1,35.41,35.41
INV10073,CUST1013,2023-07-08 00:00:00,4,116.1,464.4
INV10074,CUST1013,2023-08-19 00:00:00,2,102.42,204.84
INV10074,CUST1013,2023-08-19 00:00:00,3,154.25,462.75
INV10075,CUST1013,2023-10-16 00:00:00,3,19.88,59.64
INV10075,CUST1013,2023-10-16 00:00:00,3,40.48,121.44
INV10075,CUST1013,2023-10-16 00:00:00,1,108.65,108.65
INV10075,CUST1013,2023-10-16 00:00:00,10,20.08,200.8
INV10076,CUST1013,2023-05-25 00:00:00,6,124.33,745.98
INV10077,CUST1013,2023-06-05 00:00:00,4,54.18,216.72
INV10077,CUST1013,2023-06-05 00:00:00,1,47.57,47.57
INV10078,CUST1014,2023-08-18 00:00:00,1,99.96,99.96
INV10079,CUST1014,2023-03-10 00:00:00,10,221.31,2213.1
INV10080,CUST1014,2023-03-23 00:00:00,10,70.62,706.2
INV10080,CUST1014,2023-03-23 00:00:00,6,121.02,726.12
INV10081,CUST1014,2023-05-29 00:00:00,3,36.95,110.85
INV10081,CUST1014,2023-05-29 00:00:00,10,211.63,2116.3
INV10081,CUST1014,2023-05-29 00:00:00,2,160.53,321.06
INV10081,CUST1014,2023-05-29 00:00:00,4,148.86,595.44
INV10082,CUST1014,2023-03-12 00:00:00,3,61.07,183.21
INV10082,CUST1014,2023-03-12 00:00:00,1,109.33,109.33
INV10083,CUST1014,2023-08-26 00:00:00,3,119.83,359.49
INV10083,CUST1014,2023-08-26 00:00:00,2,261.04,522.08
INV10083,CUST1014,2023-08-26 00:00:00,2,129.37,258.74
INV10084,CUST1014,2023-07-25 00:00:00,4,245.51,982.04
INV10084,CUST1014,2023-07-25 00:00:00,6,129.17,775.02
INV10084,CUST1014,2023-07-25 00:00:00,1,0.0,79.05
INV10085,CUST1014,2023-02-07 00:00:00,10,110.65,1106.5
INV10086,CUST1015,2023-01-27 00:00:00,3,90.23,270.69
INV10086,CUST1015,2023-01-27 00:00:00,10,193.48,1934.8
INV10087,CUST1015,2023-05-06 00:00:00,6,137.04,822.24
INV10087,CUST1015,2023-05-06 00:00:00,2,24.21,48.42
INV10088,CUST1015,2023-01-28 00:00:00,6,28.1,168.6
INV10089,CUST1015,2023-09-12 00:00:00,4,222.38,889.52
INV10090,CUST1015,2023-04-04 00:00:00,3,94.89,284.67
INV10090,CUST1015,2023-04-04 00:00:00,2,124.61,249.22
INV10090,CUST1015,2023-04-04 00:00:00,4,258.72,1034.88
INV10090,CUST1015,2023-04-04 00:00:00,6,137.9,827.4
INV10091,CUST1015,2023-03-10 00:00:00,2,267.44,534.88
INV10092,CUST1015,2023-01-11 00:00:00,2,182.75,365.5
INV10093,CUST1015,2023-08-20 00:00:00,1,159.52,159.52
INV10093,CUST1015,2023-08-20 00:00:00,1,97.54,97.54
INV10094,CUST1015,2023-09-08 00:00:00,6,135.94,815.64
INV10094,CUST1015,2023-09-08 00:00:00,1,60.45,60.45
INV10095,CUST1016,2023-11-05 00:00:00,2,66.02,132.04
INV10096,CUST1016,2023-09-20 00:00:00,2,115.45,230.9
INV10096,CUST1016,2023-09-20 00:00:00,2,124.45,248.9
INV10097,CUST1016,2023-10-31 00:00:00,6,138.84,833.04
INV10098,CUST1016,2023-09-19 00:00:00,6,15.83,94.98
INV10098,CUST1016,2023-09-19 00:00:00,6,64.37,386.22
INV10098,CUST1016,2023-09-19 00:00:00,10,154.35,1543.5
INV10099,CUST1016,2023-08-28 00:00:00,6,141.46,848.76
INV10099,CUST1016,2023-08-28 00:00:00,2,189.35,378.7
INV10099,CUST1016,2023-08-28 00:00:00,2,91.39,182.78
INV10099,CUST1016,2023-08-28 00:00:00,10,113.39,1133.9
INV10100,CUST1016,2023-10-01 00:00:00,4,197.85,791.4
INV10100,CUST1016,2023-10-01 00:00:00,1,29.62,29.62
INV10101,CUST1016,2023-02-15 00:00:00,2,26.83,53.66
INV10101,CUST1016,2023-02-15 00:00:00,3,69.17,207.51
INV10101,CUST1016,2023-02-15 00:00:00,4,151.83,607.32
INV10102,CUST1017,2023-08-16 00:00:00,10,39.49,394.9
INV10102,CUST1017,2023-08-16 00:00:00,1,65.3,65.3
INV10102,CUST1017,2023-08-16 00:00:00,4,44.66,178.64
INV10103,CUST1017,2023-03-23 00:00:00,1,108.62,108.62
INV10103,CUST1017,2023-03-23 00:00:00,6,43.25,259.5
INV10103,CUST1017,2023-03-23 00:00:00,1,161.14,161.14
INV10104,CUST1017,2023-09-10 00:00:00,1,92.63,92.63
INV10105,CUST1018,2023-10-01 00:00:00,3,246.58,739.74
INV10105,CUST1018,2023-10-01 00:00:00,6,20.43,122.58
INV10105,CUST1018,2023-10-01 00:00:00,3,95.13,285.39
INV10106,CUST1018,2023-10-14 00:00:00,6,45.14,270.84
INV10106,CUST1018,2023-10-14 00:00:00,3,286.17,858.51
INV10106,CUST1018,2023-10-14 00:00:00,1,282.89,282.89
INV10107,CUST1018,2023-10-14 00:00:00,3,222.52,667.56
INV10107,CUST1018,2023-10-14 00:00:00,6,229.95,1379.7
INV10108,CUST1018,2023-04-11 00:00:00,1,269.91,269.91
INV10108,CUST1018,2023-04-11 00:00:00,4,81.03,324.12
INV10108,CUST1018,2023-04-11 00:00:00,2,34.06,68.12
INV10108,CUST1018,2023-04-11 00:00:00,2,30.69,61.38
INV10109,CUST1018,2023-02-02 00:00:00,1,69.78,69.78
INV10109,CUST1018,2023-02-02 00:00:00,6,150.8,904.8
INV10109,CUST1018,2023-02-02 00:00:00,10,53.15,531.5
INV10109,CUST1018,2023-02-02 00:00:00,1,73.11,73.11
INV10110,CUST1018,2023-03-25 00:00:00,2,226.08,452.16
INV10111,CUST1018,2023-07-15 00:00:00,10,184.88,1848.8
INV10112,CUST1018,2023-07-10 00:00:00,6,41.09,246.54
INV10112,CUST1018,2023-07-10 00:00:00,6,166.6,999.6
INV10112,CUST1018,2023-07-10 00:00:00,2,220.46,440.92
INV10112,CUST1018,2023-07-10 00:00:00,4,178.28,713.12
INV10113,CUST1018,2023-10-22 00:00:00,10,108.04,1080.4
INV10114,CUST1019,2023-07-20 00:00:00,2,31.55,63.1
INV10114,CUST1019,2023-07-20 00:00:00,2,349.59,699.18
INV10115,CUST1019,2023-02-27 00:00:00,6,197.67,1186.02
INV10115,CUST1019,2023-02-27 00:00:00,3,46.57,139.71
INV10115,CUST1019,2023-02-27 00:00:00,10,138.99,1389.9
INV10116,CUST1019,2023-03-05 00:00:00,1,214.73,214.73
INV10116,CUST1019,2023-03-05 00:00:00,4,347.53,1390.12
INV10116,CUST1019,2023-03-05 00:00:00,2,53.71,107.42
INV10116,CUST1019,2023-03-05 00:00:00,4,266.37,1065.48
INV10117,CUST1019,2023-05-12 00:00:00,6,140.28,841.68
INV10117,CUST1019,2023-05-12 00:00:00,10,304.31,3043.1
INV10117,CUST1019,2023-05-12 00:00:00,2,100.43,200.86
INV10118,CUST1019,2023-06-05 00:00:00,1,323.24,323.24
INV10118,CUST1019,2023-06-05 00:00:00,1,59.56,59.56
INV10118,CUST1019,2023-06-05 00:00:00,1,247.29,247.29
INV10118,CUST1019,2023-06-05 00:00:00,4,338.42,1353.68
INV10119,CUST1019,2023-01-16 00:00:00,6,52.96,317.76
INV10120,CUST1020,2023-01-25 00:00:00,3,229.24,687.72
INV10120,CUST1020,2023-01-25 00:00:00,2,56.06,112.12
INV10120,CUST1020,2023-01-25 00:00:00,4,32.07,128.28
INV10120,CUST1020,2023-01-25 00:00:00,4,213.74,854.96
INV10121,CUST1020,2023-01-17 00:00:00,3,137.31,411.93
INV10122,CUST1021,2023-04-01 00:00:00,3,372.01,1116.03
INV10122,CUST1021,2023-04-01 00:00:00,6,53.57,321.42
INV10123,CUST1021,2023-10-12 00:00:00,1,244.39,244.39
INV10123,CUST1021,2023-10-12 00:00:00,4,441.92,1767.68
INV10123,CUST1021,2023-10-12 00:00:00,6,137.45,824.7
INV10124,CUST1021,2023-06-03 00:00:00,10,442.52,4425.2
INV10124,CUST1021,2023-06-03 00:00:00,3,367.71,1103.13
INV10125,CUST1021,2023-03-04 00:00:00,6,252.14,1512.84
INV10125,CUST1021,2023-03-04 00:00:00,1,400.49,400.49
INV10125,CUST1021,2023-03-04 00:00:00,6,67.52,405.12
INV10125,CUST1021,2023-03-04 00:00:00,1,191.72,191.72
INV10126,CUST1021,2023-07-28 00:00:00,6,397.93,2387.58
INV10126,CUST1021,2023-07-28 00:00:00,1,382.78,382.78
INV10126,CUST1021,2023-07-28 00:00:00,2,365.09,730.18
INV10126,CUST1021,2023-07-28 00:00:00,1,257.9,257.9
INV10127,CUST1021,2023-04-16 00:00:00,4,184.06,736.24
INV10127,CUST1021,2023-04-16 00:00:00,3,329.41,988.23
INV10127,CUST1021,2023-04-16 00:00:00,2,250.33,500.66
INV10127,CUST1021,2023-04-16 00:00:00,6,120.85,725.1
INV10128,CUST1021,2023-02-17 00:00:00,6,382.37,2294.22
INV10129,CUST1021,2023-10-19 00:00:00,10,275.11,2751.1
INV10130,CUST1021,2023-05-26 00:00:00,2,254.96,509.92
INV10130,CUST1021,2023-05-26 00:00:00,6,140.27,841.62
INV10130,CUST1021,2023-05-26 00:00:00,10,245.63,2456.3
INV10131,CUST1021,2023-06-13 00:00:00,1,94.81,94.81
INV10131,CUST1021,2023-06-13 00:00:00,1,168.03,168.03
INV10131,CUST1021,2023-06-13 00:00:00,6,318.66,1911.96
INV10131,CUST1021,2023-06-13 00:00:00,2,73.46,146.92
INV10132,CUST1021,2023-06-26 00:00:00,4,95.33,381.32
INV10132,CUST1021,2023-06-26 00:00:00,3,428.0,1284.0
INV10133,CUST1021,2023-03-24 00:00:00,2,83.01,166.02
INV10133,CUST1021,2023-03-24 00:00:00,3,124.35,373.05
INV10133,CUST1021,2023-03-24 00:00:00,2,368.59,737.18
INV10134,CUST1021,2023-05-06 00:00:00,6,136.81,820.86
INV10135,CUST1021,2023-04-18 00:00:00,10,164.89,1648.9
INV10136,CUST1021,2023-04-09 00:00:00,2,292.35,584.7
INV10137,CUST1021,2023-06-18 00:00:00,10,147.03,1470.3
INV10137,CUST1021,2023-06-18 00:00:00,2,208.74,417.48
INV10137,CUST1021,2023-06-18 00:00:00,2,171.28,342.56
INV10137,CUST1021,2023-06-18 00:00:00,4,103.99,415.96
INV10138,CUST1021,2023-10-22 00:00:00,10,418.02,4180.2
INV10139,CUST1022,2023-03-26 00:00:00,2,43.38,86.76
INV10139,CUST1022,2023-03-26 00:00:00,2,279.95,559.9
INV10140,CUST1022,2023-03-27 00:00:00,6,153.61,921.66
INV10140,CUST1022,2023-03-27 00:00:00,3,59.83,179.49
INV10140,CUST1022,2023-03-27 00:00:00,6,135.1,810.6
INV10141,CUST1022,2023-09-06 00:00:00,1,117.28,117.28
INV10141,CUST1022,2023-09-06 00:00:00,3,96.17,288.51
INV10141,CUST1022,2023-09-06 00:00:00,2,68.39,136.78
INV10142,CUST1022,2023-02-21 00:00:00,4,147.73,590.92
INV10143,CUST1022,2023-08-27 00:00:00,6,227.15,1362.9
INV10143,CUST1022,2023-08-27 00:00:00,4,270.58,1082.32
INV10143,CUST1022,2023-08-27 00:00:00,10,89.51,895.1
INV10144,CUST1022,2023-09-08 00:00:00,1,307.18,307.18
INV10144,CUST1022,2023-09-08 00:00:00,4,238.31,953.24
INV10144,CUST1022,2023-09-08 00:00:00,6,210.78,1264.68
INV10145,CUST1022,2023-01-16 00:00:00,1,152.52,152.52
INV10145,CUST1022,2023-01-16 00:00:00,3,142.73,428.19
INV10145,CUST1022,2023-01-16 00:00:00,4,236.28,945.12
INV10146,CUST1022,2023-04-26 00:00:00,3,30.45,91.35
INV10147,CUST1023,2023-02-16 00:00:00,3,244.39,733.17
INV10147,CUST1023,2023-02-16 00:00:00,10,64.68,646.8
INV10147,CUST1023,2023-02-16 00:00:00,6,199.35,1196.1
INV10147,CUST1023,2023-02-16 00:00:00,3,215.38,646.14
INV10148,CUST1023,2023-04-29 00:00:00,6,47.64,285.84
INV10148,CUST1023,2023-04-29 00:00:00,6,231.14,1386.84
INV10148,CUST1023,2023-04-29 00:00:00,2,161.75,323.5
INV10149,CUST1023,2023-09-29 00:00:00,1,17.08,17.08
INV10149,CUST1023,2023-09-29 00:00:00,1,159.55,159.55
INV10149,CUST1023,2023-09-29 00:00:00,4,117.94,471.76
INV10150,CUST1023,2023-06-01 00:00:00,1,54.6,54.6
INV10150,CUST1023,2023-06-01 00:00:00,10,153.6,1536.0
INV10150,CUST1023,2023-06-01 00:00:00,6,155.55,933.3
INV10150,CUST1023,2023-06-01 00:00:00,3,248.18,744.54
INV10151,CUST1023,2023-04-19 00:00:00,6,33.82,202.92
INV10151,CUST1023,2023-04-19 00:00:00,2,129.61,259.22
INV10151,CUST1023,2023-04-19 00:00:00,10,85.35,853.5
INV10151,CUST1023,2023-04-19 00:00:00,6,194.75,1168.5
INV10152,CUST1024,2023-04-21 00:00:00,1,36.85,36.85
INV10152,CUST1024,2023-04-21 00:00:00,1,75.5,75.5
INV10152,CUST1024,2023-04-21 00:00:00,10,81.06,810.6
INV10153,CUST1024,2023-06-26 00:00:00,2,99.59,199.18
INV10154,CUST1025,2023-04-27 00:00:00,6,19.7,118.2
INV10155,CUST1025,2023-03-14 00:00:00,2,59.94,119.88
INV10155,CUST1025,2023-03-14 00:00:00,2,134.24,268.48
INV10155,CUST1025,2023-03-14 00:00:00,2,97.38,194.76
INV10155,CUST1025,2023-03-14 00:00:00,2,114.27,228.54
INV10156,CUST1026,2023-06-24 00:00:00,1,188.46,188.46
INV10156,CUST1026,2023-06-24 00:00:00,1,145.98,145.98
INV10157,CUST1026,2023-02-03 00:00:00,2,130.31,260.62
INV10157,CUST1026,2023-02-03 00:00:00,4,76.85,307.4
INV10157,CUST1026,2023-02-03 00:00:00,3,103.96,311.88
INV10157,CUST1026,2023-02-03 00:00:00,3,180.72,542.16
INV10158,CUST1026,2023-10-03 00:00:00,3,20.98,62.94
INV10158,CUST1026,2023-10-03 00:00:00,4,150.19,600.76
INV10159,CUST1026,2023-10-13 00:00:00,4,43.2,172.8
INV10159,CUST1026,2023-10-13 00:00:00,6,128.52,771.12
INV10159,CUST1026,2023-10-13 00:00:00,3,195.88,587.64
INV10160,CUST1026,2023-05-05 00:00:00,6,161.06,966.36
INV10160,CUST1026,2023-05-05 00:00:00,3,43.6,130.8
INV10160,CUST1026,2023-05-05 00:00:00,10,147.87,1478.7
INV10160,CUST1026,2023-05-05 00:00:00,10,75.51,755.1
INV10161,CUST1026,2023-08-27 00:00:00,4,50.68,202.72
INV10161,CUST1026,2023-08-27 00:00:00,3,54.61,163.83
INV10161,CUST1026,2023-08-27 00:00:00,10,19.09,190.9
INV10162,CUST1027,2023-01-09 00:00:00,2,143.91,287.82
INV10163,CUST1028,2023-12-08 00:00:00,2,201.72,403.44
INV10163,CUST1028,2023-12-08 00:00:00,1,109.63,109.63
INV10163,CUST1028,2023-12-08 00:00:00,6,100.37,602.22
INV10163,CUST1028,2023-12-08 00:00:00,4,203.09,812.36
INV10164,CUST1029,2023-04-27 00:00:00,2,501.0,1002.0
INV10164,CUST1029,2023-04-27 00:00:00,4,231.85,927.4
INV10164,CUST1029,2023-04-27 00:00:00,2,358.0,716.0
INV10165,CUST1029,2023-05-15 00:00:00,2,400.91,801.82
INV10165,CUST1029,2023-05-15 00:00:00,10,127.88,1278.8
INV10165,CUST1029,2023-05-15 00:00:00,4,226.25,905.0
INV10166,CUST1029,2023-12-24 00:00:00,6,471.47,2828.82
INV10166,CUST1029,2023-12-24 00:00:00,6,259.0,1554.0
INV10166,CUST1029,2023-12-24 00:00:00,10,479.81,4798.1
INV10167,CUST1029,2023-09-06 00:00:00,1,373.82,373.82
INV10167,CUST1029,2023-09-06 00:00:00,10,368.47,3684.7
INV10168,CUST1029,2023-01-15 00:00:00,4,167.83,671.32
